location_id,location_name
C8554B1851Y,"Kogarah, NSW"
P9432B3232V,"Liverpool, NSW"
Y2536N1641W,"Minchinbury, NSW"
R4370K8798S,"Campbelltown, NSW"
F2435Y7430K,"Liverpool, NSW"
A7141T2524B,"Arundel, QLD"
G3060H5298L,"Five Dock, NSW"
J3811N3093E,"Blacktown, NSW"
O3934Y3308F,"Milperra, NSW"
Y6394D3998T,"Berwick, VIC"
L3113Y2396V,"Blacktown, NSW"
E2074E1257J,"Kirrawee, NSW"
P5503K7795Y,"Blacktown, NSW"
R4738M6183O,"Liverpool, NSW"
N6714B6373X,"Pakenham, VIC"
S4977Y8379L,"Minchinbury, NSW"
I9893W4181R,"Camden, NSW"
I2140R6662U,"Pakenham, VIC"
Q5268N1820T,"Smeaton Grange, NSW"
D3834V3887C,"Liverpool, NSW"
V7842O2912E,"Windsor, NSW"
H1893G2533E,"Southport, QLD"
T6987M7389A,"Ryde, NSW"
O4816Z2767F,"Kirrawee, NSW"
W4782R9344U,"Five Dock, NSW"
E5973H2596A,"South Hurstville, NSW"
H8754Y3643I,"Epping, VIC"
A3640E3278Q,"Granville, NSW"
N7916C8824U,"Blacktown, NSW"
Q6946B2947Q,"Liverpool, NSW"
U4992D7230N,"Revesby, NSW"
W2653Y7183W,"Archerfield, QLD"
W3052W7729C,"Saint Marys, NSW"
K1798K2826X,"Liverpool, NSW"
G6108X3668T,"Lidcombe, NSW"
T4867L1991K,"Granville, NSW"
M2831C4702V,"Arncliffe, NSW"
G7273E1378W,"Greenacre, NSW"
S5201N8106F,"Brookvale, NSW"
Y4823S9795C,"Mornington, VIC"
Q4981D6776G,"Kirrawee, NSW"
D4148X5107V,"Five Dock, NSW"
C5385A5436S,"Cheltenham, VIC"
X2200P8344R,"Eastern Creek, NSW"
G1211P5203O,"Minchinbury, NSW"
J9662M8649U,"Burwood, NSW"
K9616Q9790K,"Minchinbury, NSW"
J2339A3378X,"Blacktown, NSW"
G1839K8520R,"Granville, NSW"
P6415L4149F,"Springwood, QLD"
Y3580I3503C,"Campbelltown, NSW"
D3604T7822F,"Laverton North, VIC"
K7802K8387Q,"Warwick Farm, NSW"
I2198V7078K,"Brookvale, NSW"
D4534T2676C,"Richmond, NSW"
R6159M8216M,"Kirrawee, NSW"
N7696H5167X,"Smeaton Grange, NSW"
Z5552T5560O,"Rozelle, NSW"
W1397I1107R,"South Hurstville, NSW"
W6593X4915Y,"Bentleigh, VIC"
J2577T2018O,"Blacktown, NSW"
S3087P1473Y,"Minchinbury, NSW"
P5138U7851E,"Carlton, NSW"
K2401H4532V,"Minchinbury, NSW"
Q2605T5876R,"Carlton, NSW"
R2317W1460T,"Capalaba, QLD"
X6508O7477R,"Elderslie, NSW"
S3535H9317U,"Granville, NSW"
O8258U5005Y,"Bentleigh, VIC"
L6623C7232D,"Minchinbury, NSW"
F2162I7414N,"Pennant Hills, NSW"
D3939R7229D,"Windsor, NSW"
M2227H8064E,"Camden, NSW"
U5991V8424S,"Braeside, VIC"
T3530F7160G,"Brookvale, NSW"
J6327E7579R,"Richmond, NSW"
A9663V4165L,"Greenacre, NSW"
M8038O6459O,"Rozelle, NSW"
F2651S6181A,"Rydalmere, NSW"
S7100F4151B,"Capalaba, QLD"
K2571E1781U,"Lidcombe, NSW"
T5698C1078I,"Auburn, NSW"
X7117E7874O,"Brookvale, NSW"
Y7408H4706P,"Lansvale, NSW"
S7101Y4878T,"Croydon, NSW"
G9850X8380N,"Liverpool, NSW"
V1326V4242N,"Smeaton Grange, NSW"
Y2566A4798F,"Liverpool, NSW"
H9630A6556K,"Coopers Plains, QLD"
J1585K7886F,"Mcgraths Hill, NSW"
