engine_id,cylinders,engine_size,fuel_type,fuel_consumption,transmission_type
V9727J5201N,6 cyl,"6 cyl, 3 L",Premium,7.4 L / 100 km,Automatic
T4050B1433N,4 cyl,"4 cyl, 2.8 L",Diesel,8.5 L / 100 km,Automatic
Q1542Q3475J,6 cyl,"6 cyl, 2.7 L",Diesel,8.2 L / 100 km,Automatic
Q1959O9819I,6 cyl,"6 cyl, 3 L",Premium,11.5 L / 100 km,Automatic
A7864A1793M,4 cyl,"4 cyl, 1.5 L",Unleaded,6.4 L / 100 km,Automatic
A6014M3851J,4 cyl,"4 cyl, 2.8 L",Diesel,8.1 L / 100 km,Automatic
S8018U5804M,4 cyl,"4 cyl, 2.3 L",Diesel,7 L / 100 km,Automatic
J6201O7844S,-,-,Diesel,-,Manual
L5902E8371L,4 cyl,"4 cyl, 2.5 L",Premium,7.3 L / 100 km,Automatic
M9349O8604G,4 cyl,"4 cyl, 2.4 L",Diesel,7.2 L / 100 km,Manual
I8608C8808G,4 cyl,"4 cyl, 2.8 L",Diesel,8.5 L / 100 km,Automatic
G1323C5476D,6 cyl,"6 cyl, 3.5 L",Unleaded,11 L / 100 km,Automatic
R9708F9040B,4 cyl,"4 cyl, 1.5 L",Unleaded,5.2 L / 100 km,Manual
P9469A4742X,4 cyl,"4 cyl, 1.5 L",Unleaded,7.3 L / 100 km,Automatic
H5378Q9071G,5 cyl,"5 cyl, 3.2 L",Diesel,9 L / 100 km,Automatic
Y4659B4753P,4 cyl,"4 cyl, 2.5 L",Diesel,8.8 L / 100 km,Automatic
Z3904G1491R,4 cyl,"4 cyl, 1.2 L",Premium,5.5 L / 100 km,Automatic
F9181N4360K,4 cyl,"4 cyl, 1.8 L",Unleaded,7.4 L / 100 km,Automatic
J1154Q2116H,4 cyl,"4 cyl, 2.4 L",Unleaded,7.2 L / 100 km,Automatic
Y2082H2562V,4 cyl,"4 cyl, 2.2 L",Diesel,6.1 L / 100 km,Automatic
K2094M3849H,-,-,Unleaded,-,Automatic
A5506M6009T,4 cyl,"4 cyl, 2.5 L",Unleaded,8.1 L / 100 km,Automatic
M5537W2371D,-,-,Unleaded,-,Automatic
B7119Y2616S,4 cyl,"4 cyl, 2.4 L",Diesel,7.2 L / 100 km,Manual
T7845K2716Y,4 cyl,"4 cyl, 2 L",Unleaded,8.5 L / 100 km,Automatic
D6998B5633A,6 cyl,"6 cyl, 3.5 L",Premium,11.7 L / 100 km,Automatic
A4373M5168M,4 cyl,"4 cyl, 1.8 L",Hybrid,4 L / 100 km,Automatic
F7825G6946Z,4 cyl,"4 cyl, 2.8 L",Diesel,8.5 L / 100 km,Automatic
B9967M7487N,4 cyl,"4 cyl, 1.2 L",Unleaded,5.8 L / 100 km,Automatic
A9318Q3300R,4 cyl,"4 cyl, 2 L",Premium,6.7 L / 100 km,Automatic
W9271W7188M,4 cyl,"4 cyl, 2.4 L",Diesel,7.2 L / 100 km,Manual
U9132N1196Q,6 cyl,"6 cyl, 2.7 L",Diesel,8.2 L / 100 km,Automatic
F4124G6482T,-,-,Diesel,-,Automatic
N8683S4981G,4 cyl,"4 cyl, 2 L",Diesel,4.9 L / 100 km,Automatic
G4546R3569M,-,-,Premium,-,-
F8735V2042N,4 cyl,"4 cyl, 2.5 L",Diesel,9.8 L / 100 km,Manual
I3973I4038A,4 cyl,"4 cyl, 2.4 L",Diesel,7.2 L / 100 km,Manual
S5336F5309P,4 cyl,"4 cyl, 1.6 L",Premium,6.6 L / 100 km,Automatic
X7846H5567X,4 cyl,"4 cyl, 2.5 L",Diesel,7.6 L / 100 km,Manual
E5563H1787J,4 cyl,"4 cyl, 2 L",Premium,8 L / 100 km,Automatic
U4077P9136L,4 cyl,"4 cyl, 2 L",Diesel,9 L / 100 km,Manual
V4378M6567G,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
